label,message
1,Your UPI account will be blocked update now http://upi-fake.com
1,URGENT pay 499 to release parcel
1,Click link to claim cashback now
1,KYC update required immediately
1,Your bank account suspended verify now
1,Loan approved pay processing fee
1,Fake bank alert click link
1,Income tax refund click now
1,You won lottery claim prize now
1,Verify account immediately or blocked

0,SBI 2500 debited from your account
0,Your OTP is 458912 do not share
0,Payment successful to Swiggy
0,Amazon order shipped
0,Call me when free
0,Meeting at 5 pm
0,Recharge successful
0,See you tomorrow
0,Class at 9 am
0,Your train ticket confirmed
0,Electricity bill paid successfully
0,Reminder submit assignment
0,Your package delivered
0,Thanks for your payment
